CID,BDATE,GEN
NASAW00011000,1971-10-06,Male
NASAW00011001,1976-05-10,Male
NASAW00011002,1971-02-09,Male
NASAW00011003,1973-08-14,Female
NASAW00011004,1979-08-05,Female
NASAW00011005,1976-08-01,Male
NASAW00011006,1976-12-02,Female
NASAW00011007,1969-11-06,Male
NASAW00011008,1975-07-04,Female
NASAW00011009,1969-09-29,Male
NASAW00011010,1969-08-05,Female
NASAW00011011,1969-05-03,Male
NASAW00011012,1979-01-14,Female
NASAW00011013,1979-08-03,Male
NASAW00011014,1973-11-06,Female
NASAW00011015,1984-08-26,Female
NASAW00011016,1984-10-25,Male
NASAW00011017,1949-12-24,Female
NASAW00011018,1955-10-06,Male
NASAW00011019,1983-09-04,Male
NASAW00011020,1984-03-19,Male
NASAW00011021,1984-03-02,Female
NASAW00011022,1984-04-10,Female
NASAW00011023,1984-04-09,Female
NASAW00011024,1984-03-16,Female
NASAW00011025,1951-06-22,Female
NASAW00011026,1951-10-01,Female
NASAW00011027,1952-06-05,Female
NASAW00011028,1951-10-09,Female
NASAW00011029,1952-06-19,Female
NASAW00011030,1958-02-18,Female
NASAW00011031,1953-02-18,Female
NASAW00011032,1952-12-08,Female
NASAW00011033,1958-09-19,Female
NASAW00011034,1952-12-16,Female
NASAW00011035,1953-08-23,Female
NASAW00011036,1984-06-16,Female
NASAW00011037,1983-05-27,Female
NASAW00011038,1953-09-20,Female
NASAW00011039,1954-06-16,  
NASAW00011040,1983-01-29, 
NASAW00011041,1983-04-15, 
NASAW00011042,1982-12-11,Female
NASAW00011043,1981-08-23,Female
NASAW00011044,1954-11-21,Female
NASAW00011045,1955-11-16,Female
NASAW00011046,1955-09-19,Female
NASAW00011047,1955-08-27,Female
NASAW00011048,1956-05-21,Female
NASAW00011049,1986-01-15,Female
NASAW00011050,1957-03-06,Female
NASAW00011051,1957-01-31,Female
NASAW00011052,1957-02-03,Female
NASAW00011053,1986-02-17,Female
NASAW00011054,1957-09-07,Female
NASAW00011055,1957-09-02,M 
NASAW00011056,1958-10-01,F 
NASAW00011057,1970-04-07,Female
NASAW00011058,1965-04-23,Female
NASAW00011059,1959-09-29,Female
NASAW00011060,1959-09-14,Female
NASAW00011061,1976-02-20,Male
NASAW00011062,1981-03-01,Male
NASAW00011063,1980-10-04,Female
NASAW00011064,1981-06-05,Male
NASAW00011065,1979-04-08,Female
NASAW00011066,1979-05-27,Female
NASAW00011067,1982-03-25,Male
NASAW00011068,1966-09-19,Female
NASAW00011069,1966-09-17,Female
NASAW00011070,1960-10-02,Male
NASAW00011071,1960-12-23,Female
NASAW00011072,1960-08-05,Female
NASAW00011073,1962-02-11,Female
NASAW00011074,1962-02-25,Male
NASAW00011075,1963-05-16,Female
NASAW00011076,1963-01-10,Male
NASAW00011077,1963-03-19,Female
NASAW00011078,1985-01-06,Female
NASAW00011079,1970-03-07,Male
NASAW00011080,1965-01-13,Male
NASAW00011081,1972-01-21,Female
NASAW00011082,1972-02-01,Female
NASAW00011083,1977-03-11,Female
NASAW00011084,1963-03-12,Male
NASAW00011085,1963-01-16,Female
NASAW00011086,1963-06-22,Male
NASAW00011087,1963-04-02,Female
NASAW00011088,1963-05-25,Male
NASAW00011089,1962-08-05,Female
NASAW00011090,1968-12-13,Male
NASAW00011091,1962-10-02,Male
NASAW00011092,1972-11-02,Female
NASAW00011093,1978-09-06,Female
NASAW00011094,1967-09-29,Male
NASAW00011095,1968-02-29,Male
NASAW00011096,1968-02-07,Male
NASAW00011097,1972-10-23,Male
NASAW00011098,1966-10-29,Female
NASAW00011099,1966-09-05,Male
NASAW00011100,1966-03-15,Female
NASAW00011101,1970-11-05,Female
NASAW00011102,1970-10-19,Female
NASAW00011103,1981-04-12,Female
NASAW00011104,1975-03-08,Male
NASAW00011105,1970-06-27,Female
NASAW00011106,1970-03-11,Male
NASAW00011107,1976-03-04,Female
NASAW00011108,1969-01-10,Female
NASAW00011109,1980-04-30,Male
NASAW00011110,1967-12-04,Male
NASAW00011111,1967-08-23,Female
NASAW00011112,1968-03-08,Female
NASAW00011113,1973-02-17,Male
NASAW00011114,1967-11-25,Female
NASAW00011115,1967-08-12,Male
NASAW00011116,1979-04-02,Male
NASAW00011117,1966-08-21,Female
NASAW00011118,1962-12-31,Male
NASAW00011119,1940-10-07,Male
NASAW00011120,1942-02-06,Female
NASAW00011121,1966-05-18,Male
NASAW00011122,1965-09-30,Male
NASAW00011123,1965-12-18,Male
NASAW00011124,1968-07-23,Male
NASAW00011125,1961-10-06,Female
NASAW00011126,1954-10-05,Male
NASAW00011127,1981-04-19,Female
NASAW00011128,1981-06-03,Female
NASAW00011129,1981-02-01,Female
NASAW00011130,1985-07-05,Female
NASAW00011131,1985-09-09,Female
NASAW00011132,1986-04-25,Female
NASAW00011133,1986-03-08,Female
NASAW00011134,1957-02-22,Male
NASAW00011135,1985-05-02,Male
NASAW00011136,1984-04-24,Female
NASAW00011137,1984-01-17,Female
NASAW00011138,1984-03-14,Female
NASAW00011139,1949-11-05,Female
NASAW00011140,1982-08-11,Male
NASAW00011141,1982-12-19,F
NASAW00011142,1983-02-11,M
NASAW00011143,1982-08-04,Male
NASAW00011144,1985-03-08,Male
NASAW00011145,1985-06-06,Female
NASAW00011146,1945-02-22,Female
NASAW00011147,1944-08-04,Male
NASAW00011148,1947-02-13,Male
NASAW00011149,1946-10-18,Male
NASAW00011150,1946-09-12,Male
NASAW00011151,1947-08-25,Female
NASAW00011152,1981-07-09,Male
NASAW00011153,1981-12-21,Female
NASAW00011154,1982-02-18,Female
NASAW00011155,1981-07-25,Male
NASAW00011156,1981-08-06,Female
NASAW00011157,1980-12-08,Female
NASAW00011158,1981-04-06,Male
NASAW00011159,1981-03-16,Female
NASAW00011160,1979-07-08,Male
NASAW00011161,1979-10-20,Female
NASAW00011162,1979-09-02,Male
NASAW00011163,1980-06-18,Male
NASAW00011164,1979-11-02,Male
NASAW00011165,1979-01-15,Female
NASAW00011166,1977-10-22,Female
NASAW00011167,1978-01-29,Female
NASAW00011168,1973-11-12,Male
NASAW00011169,1973-12-20,Male
NASAW00011170,1973-08-04,Female
NASAW00011171,1978-10-05,Male
NASAW00011172,1973-05-20,Female
NASAW00011173,1973-02-28,Female
NASAW00011174,1973-01-09,Male
NASAW00011175,1968-09-01,Male
NASAW00011176,1979-01-21,Male
NASAW00011177,1948-01-01,Male
NASAW00011178,1954-08-20,Male
NASAW00011179,1959-12-08,Female
NASAW00011180,1948-07-01,Female
NASAW00011181,1960-02-01,Male
NASAW00011182,1950-02-22,Female
NASAW00011183,1950-01-12,Female
NASAW00011184,1955-11-13,Female
NASAW00011185,1950-04-07,Female
NASAW00011186,1949-11-18,Female
NASAW00011187,1949-08-21,Female
NASAW00011188,1950-03-06,Female
NASAW00011189,1950-01-12,Male
NASAW00011190,1949-12-20,Male
NASAW00011191,1951-06-17,Female
NASAW00011192,1951-03-13,Male
NASAW00011193,1950-08-13,Male
NASAW00011194,1950-12-08,Female
NASAW00011195,1951-08-10,Female
NASAW00011196,1951-12-05,Male
NASAW00011197,1951-12-16,Female
NASAW00011198,1952-05-25,Female
NASAW00011199,1957-11-02,Female
NASAW00011200,1953-05-21,Male
