CID,BDATE,GEN
NASAW00011401,1975-02-23,Female
NASAW00011402,1975-05-20,Female
NASAW00011403,1980-01-06,Female
NASAW00011404,1957-06-30,Female
NASAW00011405,1957-08-16,Female
NASAW00011406,1957-12-31,Female
NASAW00011407,1957-09-30,Male
NASAW00011408,1964-05-10,Male
NASAW00011409,1979-03-02,Female
NASAW00011410,2042-02-22,Male
NASAW00011411,1959-08-12,Male
NASAW00011412,1959-10-07,Female
NASAW00011413,1959-10-13,Female
NASAW00011414,1959-09-15,Male
NASAW00011415,1949-12-03,Male
NASAW00011416,1950-09-16,Female
NASAW00011417,1950-08-26,Female
NASAW00011418,1950-08-09,Male
NASAW00011419,1950-08-18,Male
NASAW00011420,1952-01-09,Male
NASAW00011421,1952-01-16,Female
NASAW00011422,1952-02-29,Male
NASAW00011423,1960-05-04,Female
NASAW00011424,1964-12-03,Female
NASAW00011425,1965-08-02,Female
NASAW00011426,1959-04-01,Male
NASAW00011427,1959-06-17,Female
NASAW00011428,1959-02-19,Female
NASAW00011429,1958-01-13,Male
NASAW00011430,1957-09-21,Female
NASAW00011431,1974-10-20,Male
NASAW00011432,1957-03-10,Female
NASAW00011433,1957-03-01,Male
NASAW00011434,1962-05-02,Male
NASAW00011435,1955-09-03,Female
NASAW00011436,1956-03-17,Female
NASAW00011437,1955-06-16,Male
NASAW00011438,1955-04-13,Female
NASAW00011439,1953-11-14,Female
NASAW00011440,1953-03-26,Male
NASAW00011441,1952-12-09,Female
NASAW00011442,1953-05-13,Male
NASAW00011443,1981-11-19,Female
NASAW00011444,1981-10-26,Female
NASAW00011445,1980-01-18,Female
NASAW00011446,1980-02-09,Female
NASAW00011447,1980-02-13,Female
NASAW00011448,1980-10-25,Male
NASAW00011449,1980-08-01,Male
NASAW00011450,1981-05-11,Male
NASAW00011451,1980-05-08,Male
NASAW00011452,1979-05-05,Female
NASAW00011453,1984-08-17,Male
NASAW00011454,1979-10-20,Female
NASAW00011455,1979-10-19,Male
NASAW00011456,1980-01-05,Male
NASAW00011457,1978-11-18,Female
NASAW00011458,1978-10-03,Female
NASAW00011459,1978-04-12,Female
NASAW00011460,1983-10-04,Male
NASAW00011461,1977-09-22,Male
NASAW00011462,1977-07-18,Female
NASAW00011463,1977-09-09,Female
NASAW00011464,1977-05-15,Male
NASAW00011465,1976-08-18,Male
NASAW00011466,1977-01-30,Male
NASAW00011467,1975-04-06,Male
NASAW00011468,1980-12-15,Female
NASAW00011469,1978-10-14,Male
NASAW00011470,1979-03-25,Male
NASAW00011471,1979-03-25,Female
NASAW00011472,1968-09-30,Male
NASAW00011473,1986-01-30,Female
NASAW00011474,1985-08-21,Male
NASAW00011475,1984-04-07,Male
NASAW00011476,1980-05-16,Female
NASAW00011477,1984-06-21,Male
NASAW00011478,1984-02-22,Male
NASAW00011479,1978-10-20,Male
NASAW00011480,1984-03-07,Female
NASAW00011481,1978-11-20,Female
NASAW00011482,1978-01-16,Female
NASAW00011483,1983-05-19,Male
NASAW00011484,1983-03-03,Male
NASAW00011485,1978-02-04,Male
NASAW00011486,1982-05-21,Female
NASAW00011487,1977-01-05,Female
NASAW00011488,1977-03-20,Male
NASAW00011489,1976-09-03,Female
NASAW00011490,1976-07-05,Male
NASAW00011491,1982-04-02,Male
NASAW00011492,1982-11-15,Male
NASAW00011493,1976-05-31,Female
NASAW00011494,1976-01-25,Male
NASAW00011495,1977-03-03,Male
NASAW00011496,1976-04-15,Male
NASAW00011497,1981-11-22,Female
NASAW00011498,1979-07-15,Male
NASAW00011499,1980-05-13,Male
NASAW00011500,1980-03-17,Female
NASAW00011501,1981-01-03,Female
NASAW00011502,1980-09-03,Male
NASAW00011503,1936-04-11,Male
NASAW00011504,1936-10-17,Female
NASAW00011505,1972-01-04,Female
NASAW00011506,1971-11-14,Male
NASAW00011507,1972-05-19,Female
NASAW00011508,1972-01-04,Female
NASAW00011509,1964-07-22,Female
NASAW00011510,1959-01-10,Male
NASAW00011511,1964-06-10,Male
NASAW00011512,1976-08-05,Female
NASAW00011513,1965-09-23,Female
NASAW00011514,1965-04-16,Male
NASAW00011515,1959-08-25,Female
NASAW00011516,1976-10-13,Female
NASAW00011517,1959-12-18,Female
NASAW00011518,1960-11-06,Male
NASAW00011519,1960-09-13,Male
NASAW00011520,1960-10-08,Female
NASAW00011521,1977-12-01,Female
NASAW00011522,1972-06-17,Male
NASAW00011523,1962-02-07,Male
NASAW00011524,1961-07-22,Female
NASAW00011525,1961-07-08,Female
NASAW00011526,1973-01-30,Female
NASAW00011527,1961-12-02,Female
NASAW00011528,1968-08-15,Female
NASAW00011529,1963-05-16,Male
NASAW00011530,1963-01-23,Male
NASAW00011531,1962-07-07,Female
NASAW00011532,1962-08-26,Female
NASAW00011533,1968-07-17,Female
NASAW00011534,1964-05-12,Male
NASAW00011535,1963-12-31,Male
NASAW00011536,1969-04-13,Male
NASAW00011537,1963-09-21,Male
NASAW00011538,1965-02-24,Female
NASAW00011539,1970-08-18,Male
NASAW00011540,1970-01-24,Male
NASAW00011541,1964-10-09,Male
NASAW00011542,1979-09-07,Male
NASAW00011543,1973-08-16,Female
NASAW00011544,1979-05-04,Male
NASAW00011545,1973-09-22,Male
NASAW00011546,1973-09-11,Female
NASAW00011547,1979-03-05,Female
NASAW00011548,1974-04-11,Male
NASAW00011549,1979-09-03,Female
NASAW00011550,1979-08-05,Female
NASAW00011551,2050-05-21,Male
NASAW00011552,1972-11-23,Male
NASAW00011553,1973-03-08,Female
NASAW00011554,1932-03-27,Female
NASAW00011555,1937-07-04,Female
NASAW00011556,1972-11-10,Male
NASAW00011557,1972-07-14,Female
NASAW00011558,1973-02-18,Male
NASAW00011559,1978-12-12,Male
NASAW00011560,1978-08-09,Female
NASAW00011561,1972-01-21,Female
NASAW00011562,2038-10-17,Male
NASAW00011563,1971-08-01,Male
NASAW00011564,1972-01-09,Male
NASAW00011565,1971-12-30,Male
NASAW00011566,1973-03-01,Female
NASAW00011567,1978-09-19,Female
NASAW00011568,1972-04-21,Female
NASAW00011569,1977-05-06,Male
NASAW00011570,1971-07-22,Female
NASAW00011571,1971-11-15,Male
NASAW00011572,1977-03-11,Male
NASAW00011573,1976-11-11,Female
NASAW00011574,1971-01-14,Female
NASAW00011575,1970-10-19,Male
NASAW00011576,1970-08-10,Male
NASAW00011577,1971-04-21,Female
NASAW00011578,1970-05-08,Female
NASAW00011579,1981-02-13,Male
NASAW00011580,1939-03-12,Male
NASAW00011581,2045-03-03,Female
NASAW00011582,1974-04-09,Female
NASAW00011583,1971-03-26,Female
